Google service,Service description,Service ID,SKU ID,SKU description,Consumption model description,Product taxonomy,Unit description,Per unit quantity,Tiered usage start,List price (₫),
GCP,Cloud Storage,95FF-2EF5-5EA1,AED0-3315-7B11,Network Data Transfer GCP Replication within Northern America,Default,GCP > Storage > GCS > Egress > Replication > Default Replication,gibibyte,1,0,526.71000419,
GCP,Cloud Storage,95FF-2EF5-5EA1,0D5D-6E23-4250,Standard Storage US Multi-region,Default,GCP > Storage > GCS > Storage > Standard > Multi-Regional,gibibyte month,1,0,684.723005447,
GCP,Gemini API,AEFD-7695-64FA,AEF7-CFC8-1D9E,Generate_content_cached_input_token_count_gemini_3_pro_short_image,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3 Pro > Image Caching > Input,count,1000000,0,"5,267.100041902",
GCP,Gemini API,AEFD-7695-64FA,4D6D-3A29-44D7,Generate_content text cached input token count for gemini 3 pro short,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3 Pro > Text Caching > Input,count,1000000,0,"5,267.100041902",
GCP,Gemini API,AEFD-7695-64FA,F4E4-40E9-745E,GenerateContent text input token count for Gemini 2.0 Flash TTS,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.0 Flash TTS > Text > Input,count,1000000,0,"13,167.750104756",
GCP,Gemini API,AEFD-7695-64FA,68D6-42D9-37E1,Generate content input token count gemini 2.5 flash input image,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.5 Flash > Image > Input,count,1000000,0,"7,900.650062853",
GCP,Gemini API,AEFD-7695-64FA,261A-5650-31B1,Generate content input token count gemini 2.5 flash lite input image,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.5 Flash Lite > Image > Input,count,1000000,0,"2,633.550020951",
GCP,Gemini API,AEFD-7695-64FA,399C-32AD-1412,Generate content input token count gemini 2.5 flash lite short input text,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.5 Flash Lite > Text > Input,count,1000000,0,"2,633.550020951",
GCP,Gemini API,AEFD-7695-64FA,74A0-9E74-BEDC,Generate_content image input token count for Gemini 2.5 Flash Native Image Generation,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.5 Flash Native Image Generation > Image > Input,count,1000000,0,"7,900.650062853",
GCP,Gemini API,AEFD-7695-64FA,981A-C057-0BF9,Generate content input token count gemini 2.5 flash short input text,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.5 Flash > Text > Input,count,1000000,0,"7,900.650062853",
GCP,Gemini API,AEFD-7695-64FA,A44E-F89C-67C0,Gemini 3.1 Flash Image Image Input - Predictions,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3.1 Flash Image > Image > Input,count,1000000,0,"13,167.750104756",
GCP,Gemini API,AEFD-7695-64FA,79EE-4DC9-1607,Gemini 3.1 Flash Image Text Input - Predictions,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3.1 Flash Image > Text > Input,count,1000000,0,"13,167.750104756",
GCP,Gemini API,AEFD-7695-64FA,F2C1-F842-5D84,Generate_content text input token count for gemini 3 flash,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3 Flash > Text > Input,count,1000000,0,"13,167.750104756",
GCP,Gemini API,AEFD-7695-64FA,621F-B428-5221,Generate_content image input token count for gemini 3 pro short,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3 Pro > Image > Input,count,1000000,0,"52,671.000419024",
GCP,Gemini API,AEFD-7695-64FA,FB70-0CFB-9533,Generate_content text input token count for gemini 3 pro short,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3 Pro > Text > Input,count,1000000,0,"52,671.000419024",
GCP,Gemini API,AEFD-7695-64FA,6D92-ABB7-8F5A,GenerateContent audio output token count for Gemini 2.0 Flash TTS,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.0 Flash TTS > Audio > Output,count,1000000,0,"263,355.00209512",
GCP,Gemini API,AEFD-7695-64FA,7133-23F2-04B7,Generate content output token count gemini 2.5 flash lite short output text non-thinking,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.5 Flash Lite > Text > Output,count,1000000,0,"10,534.200083804",
GCP,Gemini API,AEFD-7695-64FA,2A8D-CD62-0E04,Generate_content image output token count for Gemini 2.5 Flash Native Image Generation,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.5 Flash Native Image Generation > Image > Output,count,1000000,0,"790,065.006285362",
GCP,Gemini API,AEFD-7695-64FA,911A-8880-A243,Generate content output token count gemini 2.5 flash short input text,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.5 Flash > Text > Output,count,1000000,0,"65,838.75052378",
